,인허가일자,상세영업상태코드,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
104261,20210421.0,1,서울특별시 양천구 목동중앙북로7길 13 남강빌딩 102호 (목동),7946.0,담꾹 등촌역점,188190.7632,449626.3801
104416,20210702.0,1,서울특별시 송파구 양산로 ** 세신거여종합상가 *층 ***호 (거여동),5779.0,담꾹 거여역점,212645.5396,443127.5355
104428,20210423.0,1,서울특별시 성동구 왕십리로 410 J동 1층 137호 (하왕십리동 센트라스),4701.0,더팜홈쿡 왕십리센트라스점,202372.91199999998,451536.6809
104495,20210426.0,1,서울특별시 용산구 백범로99길 40 101동 114호 (한강로2가 용산 베르디움 프렌즈),4375.0,식사준비 삼각지점(용산트리스퀘어),197426.552,448211.5134
104764,20210625.0,1,서울특별시 강동구 동남로81길 72 1층 (고덕동),5227.0,담꾹 고덕점,213449.5296,450791.3053
105153,20190228.0,1,서울특별시 도봉구 도당로15길 4 1층 (방학동),1354.0,땅스부대찌개,203198.8095,462611.545
105164,20210507.0,1,서울특별시 강동구 진황도로 190 103호 (둔촌동),5370.0,담꾹,212568.5278,447453.6868
105299,20210510.0,1,서울특별시 송파구 바람드리길 39 1층 (풍납동),5512.0,땅스부대찌개 풍납시장점,210557.0998,448367.0279
105386,20210512.0,1,서울특별시 강북구 삼양로 438 한일빌딩 1층 (수유동),1041.0,담꾹가오리점,201400.2999,460022.1983
105437,20210513.0,1,서울특별시 성동구 무학로 10 1층 (도선동),4707.0,담꾹상왕십리점,202615.2358,451415.7319
105481,20210514.0,1,서울특별시 관악구 남부순환로206길 7 1층 (봉천동),8784.0,담꾹 봉천역점,194797.9469,442191.0703
105694,20170803.0,1,서울특별시 도봉구 덕릉로57길 36 (창동),1468.0,땅스부대찌개,203175.4462,459745.1244
105813,20210701.0,1,서울특별시 구로구 고척로 *** *층 (개봉동),8247.0,오늘쉐프 개봉푸르지오점,186459.6814,444445.2313
105937,20210524.0,1,서울특별시 중구 청구로 64 123동 1층 근생 1-5호 (신당동 청구 e편한세상),4587.0,더팜홈쿡 신당동점,201408.5992,450908.066
106094,20210527.0,1,서울특별시 강동구 상일로 55 107호 (상일동),5275.0,식사준비(고덕자이점),215008.5313,450016.1487
106108,20210527.0,1,서울특별시 광진구 능동로 ***-* *층 ***호 (능동),4989.0,요리비책,206863.5402,450272.56700000004
106316,20210708.0,1,서울특별시 동대문구 황물로 ** ***호 (답십리동),2593.0,집어가 답십리점,204017.5791,452332.4489
106564,20210714.0,1,서울특별시 도봉구 노해로 *** *층 (쌍문동),1440.0,집어가 쌍문점,203054.6997,461010.9803
106693,20210719.0,1,서울특별시 중구 다산로 *** *층 (신당동),4599.0,담꾹 약수역점,200752.4392,450111.8243
106739,20210720.0,1,서울특별시 서대문구 가재울미래로 * 상가***동 *층 ***-*호 (남가좌동 DMC파크뷰자이),3709.0,오늘쉐프(가재울뉴타운점),192672.0675,452221.9607
106792,20210721.0,1,서울특별시 구로구 경인로**길 *** *층 ***호 (고척동),8223.0,담꾹 고척점,187885.0949,444562.24700000003
106959,20210726.0,1,서울특별시 송파구 송이로**길 ** *층 ***호 (가락동 그랜드아파트),5708.0,더팜홈쿡 가락본동점,210294.3245,444040.6937
107167,20210802.0,1,서울특별시 관악구 남부순환로 ****-* *층 (봉천동),8757.0,오늘쉐프,194932.4884,442290.4641
107278,20210804.0,1,서울특별시 양천구 목동서로 ** 제관리동 제*층 제***호 (목동 목동신시가지아파트*단지),7981.0,오늘쉐프 목동2단지점,188965.7388,448365.714
107514,20210811.0,1,서울특별시 송파구 위례송파로 *** 상가 *동 *층 ***호 (거여동 위례포레샤인 **단지),5846.0,오늘쉐프 송파위례점,,
107554,20210812.0,1,서울특별시 관악구 쑥고개로 ** *층 (봉천동),8830.0,집어가 청룡동점,194827.1218,441924.4471
107562,20210812.0,1,서울특별시 영등포구 신길로**길 * B*층 *호 (신길동 힐스테이트 클래시안),7388.0,오늘쉐프 신길힐스테이트점,192155.9356,444674.9721
107603,20210813.0,1,서울특별시 강서구 강서로 *** ***호 (화곡동),7705.0,집어가 우장산역점,185436.0743,449449.2625
107612,20210813.0,1,서울특별시 종로구 혜화로*길 * *층 (명륜*가),3068.0,노키친 혜화점,199909.8453,453835.6478
107654,20210817.0,1,서울특별시 양천구 목동중앙남로 ** *층 (목동),7963.0,오늘쉐프 강서고교점,188258.4059,448190.0464
107698,20210817.0,1,서울특별시 강북구 오현로**길 *-* 다전빌딩 *층 *호 (번동),1224.0,더팜홈쿡번동점,203448.8047,458454.6213
107772,20210819.0,1,서울특별시 구로구 경인로 *** *층 *호 (오류동),8271.0,식사준비(오류동역점),186149.0007,443754.9619
107845,20210820.0,1,서울특별시 강서구 방화대로**길 ** 불해빌딩 *층 ***호 (방화동),7595.0,담꾹 마곡 방화점,184161.3164,452077.9066
107851,20210820.0,1,서울특별시 용산구 효창원로**나길 * *층 (용문동),4356.0,오늘쉐프,196260.0788,448325.1648
107907,20210823.0,1,서울특별시 강북구 도봉로**길 ** *층 (미아동),1157.0,노키친미아점,202369.0073,458126.9743
